"df23f8f","Alberto Pastor Moreno","Tue, 22 May 2018 23:43:41 +0200","Delete ~$ESOFT-SRS_.docx",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"4efafbb","Alberto Pastor Moreno","Tue, 22 May 2018 23:43:26 +0200","Delete IFESOFT-PPS_.docx",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"1d7840b","Alberto Pastor Moreno","Tue, 22 May 2018 23:42:32 +0200","Delete IFESOFT-SRS_.docx",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"e67280b","Alberto Pastor Moreno","Tue, 22 May 2018 23:41:41 +0200","Add files via upload",	 3 files changed, 0 insertions(+), 0 deletions(-)	
"19ecce6","albertopastormr","Tue, 22 May 2018 19:05:14 +0200","agregado ifesoft.jar",	 8 files changed, 226 insertions(+), 138 deletions(-)	
"37bdc73","ivanfermena","Tue, 22 May 2018 17:48:19 +0200","Corregidos errores en updates y problemas en modify",	 8 files changed, 220 insertions(+), 12 deletions(-)	
"5a14161","albertopastormr","Tue, 22 May 2018 17:27:17 +0200","corregido 'list by dates' feria",	 2 files changed, 47 insertions(+), 68 deletions(-)	
"2895e3c","albertopastormr","Tue, 22 May 2018 17:22:39 +0200","corregidos errores en visualizaciones individuales",	 7 files changed, 180 insertions(+), 124 deletions(-)	
"13c7106","albertopastormr","Tue, 22 May 2018 17:05:19 +0200","agregado truncate db",	 1 file changed, 10 insertions(+)	
"c95f4f3","albertopastormr","Tue, 22 May 2018 17:03:59 +0200","corregidos errores?",	 4 files changed, 202 insertions(+), 139 deletions(-)	
"8003155","albertopastormr","Tue, 22 May 2018 10:55:35 +0200","corregidos tests negocio",	 8 files changed, 279 insertions(+), 231 deletions(-)	
"b86c0a7","Pablo Lopez Veleiro","Mon, 21 May 2018 16:44:41 +0200","Arreglo listByDates Feria Negocio",	 2 files changed, 33 insertions(+), 83 deletions(-)	
"e8e422b","Pablo Lopez Veleiro","Sun, 20 May 2018 12:46:34 +0200","Igualar codigo negocio a diagramas",	 7 files changed, 192 insertions(+), 175 deletions(-)	
"2b196c2","Ruben Garcia Mateos","Sat, 19 May 2018 20:51:26 +0200","Pequeños cambios negocio",	 2 files changed, 45 insertions(+), 94 deletions(-)	
